;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SERIE;ANO;CODUP;NOMEUP;Hiper_e_Supermercados_estabelecimentos_hab;Mercearias_e_similares_estabelecimentos_hab;Distribuicao_de_equipamentos_culturais;Livrarias_e_papelarias_M2_hab;Locadoras;Bancas_de_revista;Matricula_na_Educacao_Infantil;Matricula_no_Ensino_Fundamental;indice_de_Aproveitamento_no_Ensino_Fundamental;Matricula_no_Ensino_Medio;indice_de_Aproveitamento_no_Ensino_Medio;Quadras_campos_e_pistas_de_cooper;area_residencial_adequada;Padrao_de_acabamento;Seguranca_do_Terreno_indice_de_risco_geologico_efetivo;indice_de_Salubridade_Ambiental;Fornecimento_de_Energia_Eletrica;Possibilidade_de_acesso_Pavimentacao;Numero_de_veiculos_por_habitante;Frequencia_das_linhas_por_UP;Tranquilidade_sonora;Ausencia_de_coletivos_poluidores;area_de_verde__por_habitante;Centros_de_saude;Outros_equipamentos_de_assistencia_medica_estabelecimento_hab;Equipamentos_odontologicos_estabelecimento_habitante;APVP;Agencias_bancarias;Postos_de_gasolina;Farmacias;Espacos_publicos_para_inclusao_digital;Correios;Telefones_Publicos;Ausencia_de_crimes_contra_a_pessoa_homicidios_tentados_e_consumados;Ausencia_de_crimes_contra_o_patrimônio_roubo_e_furto;Ausencia_de_acidentes_de_trânsito;IOL_1_Abastecimento;IOL_2_Cultura;IOL_3_Educacao;IOL_4_Esportes;IOL_5_Habitacao;IOL_6_Infra-estrutura_urbana;IOL_7_Meio_Ambiente;IOL_8_Saude;IOL_9_Servicos_Urbanos;IOL_10_Seguranca_urbana;IQVU_1_Abastecimento;IQVU_2_Cultura;IQVU_3_Educacao;IQVU_4_Esportes;IQVU_5_Habitacao;IQVU_6_Infra-estrutura_urbana;IQVU_7_Meio_Ambiente;IQVU_8_Saude;IQVU_9_Servicos_Urbanos;IQVU_10_Seguranca_urbana;IOL;IQVU
SERIE HISTÓRICA;2006;2403;Barroca;;;0,02;62,11;;;;93,81;;92,42;91,73;;60,47;13,06;;;124,56;97,56;15,29;;0,00;;;0,00;;;;4,70;;;;;53,56;;0,00;0,00;0,69373;0,39781;0,90979;;0,88685;0,84015;0,00000;0,52733;0,70635;0,11141;0,68358;0,38959;0,90642;;0,88685;0,84015;0,00000;0,51772;0,69403;0,11141;0,65747;0,65327
SERIE HISTÓRICA;2006;2404;Morro das Pedras;;;0,05;2,60;;;;0,00;;0,00;0,00;;4,93;1,52;;;94,21;10,90;2,81;;115,10;;;0,00;;;;0,52;;;;;11,95;;18,69;59,91;0,12223;0,03333;0,00000;;0,15401;0,64660;0,89946;0,00000;0,14795;0,39282;0,25938;0,12731;0,36904;;0,15401;0,64660;0,89946;0,16952;0,35745;0,39282;0,26062;0,36917
SERIE HISTÓRICA;2006;2405;Betânia;;;0,05;6,36;;;;93,27;;70,19;74,51;;23,02;6,64;;;116,22;82,68;9,51;;0,00;;;0,12;;;;1,63;;;;;42,88;;0,00;0,00;0,44938;0,28073;0,87344;;0,54508;0,81465;0,00000;0,32213;0,39233;0,00163;0,47656;0,28068;0,87333;;0,54508;0,81465;0,00000;0,42702;0,59786;0,00163;0,48836;0,52781
SERIE HISTÓRICA;2006;2406;Estoril/Buritis/Pilar Oeste;;;0,04;54,22;;;;56,64;;56,74;89,63;;54,89;13,61;;;136,01;66,39;15,93;;0,00;;;0,04;;;;6,24;;;;;41,85;;4,76;15,13;0,72923;0,39611;0,86079;;0,87438;0,83315;0,00000;0,33937;0,58082;0,27747;0,72088;0,38392;0,86182;;0,87438;0,83315;0,00000;0,37353;0,56915;0,27747;0,62349;0,62609
SERIE HISTÓRICA;2006;2501;Garças/Braúnas;;;0,00;0,00;;;;130,43;;172,54;78,02;;22,47;5,15;;;115,53;76,64;23,16;;76,10;;;0,00;;;;1,45;;;;;30,40;;48,03;172,57;0,23017;0,00000;0,90227;;0,49890;0,79628;0,78103;0,00000;0,26274;0,88442;0,24064;0,10100;0,90227;;0,49890;0,79628;0,78103;0,06214;0,34539;0,88442;0,52019;0,54185
SERIE HISTÓRICA;2006;2502;Santa Amélia;;;0,08;35,01;;;;139,02;;207,87;68,05;;40,58;12,07;;;127,78;97,72;13,06;;0,00;;;0,03;;;;3,38;;;;;44,74;;0,00;5,57;0,70476;0,08097;0,90350;;0,78932;0,81808;0,00000;0,23865;0,57200;0,15678;0,69019;0,18449;0,90245;;0,78932;0,81808;0,00000;0,30795;0,57065;0,15678;0,57418;0,58554
SERIE HISTÓRICA;2006;2503;Pampulha;;;0,32;48,86;;;;315,58;;441,53;87,38;;76,03;15,35;;;129,20;94,42;54,05;;9,10;;;0,08;;;;5,67;;;;;101,29;;0,00;24,39;0,64684;0,72650;0,93199;;0,93724;0,88007;0,16608;0,62390;0,77150;0,39516;0,63775;0,61176;0,92942;;0,93724;0,88007;0,16608;0,55871;0,72505;0,39516;0,73784;0,71910
SERIE HISTÓRICA;2006;2504;Jaraguá;;;0,06;37,26;;;;94,87;;72,09;92,21;;38,32;9,91;;;121,07;94,93;28,74;;0,00;;;0,03;;;;4,74;;;;;37,59;;0,00;15,48;0,72125;0,07054;0,90227;;0,74615;0,86115;0,00000;0,19143;0,63265;0,18018;0,69329;0,15782;0,89751;;0,74615;0,86115;0,00000;0,26642;0,62340;0,18018;0,57608;0,58533
SERIE HISTÓRICA;2006;2505;Sarandi;;;0,04;13,43;;;;72,48;;42,07;76,22;;21,09;6,46;;;105,20;92,44;5,09;;2,10;;;0,04;;;;0,00;;;;;41,32;;2,17;35,12;0,37690;0,03639;0,83182;;0,51800;0,80760;0,04105;0,18663;0,19926;0,31474;0,41582;0,14192;0,83579;;0,51800;0,80760;0,04105;0,23788;0,32882;0,31474;0,45119;0,47941
SERIE HISTÓRICA;2006;2506;Castelo;;;0,00;20,90;;;;13,92;;8,99;70,97;;40,27;11,52;;;133,95;90,47;6,41;;66,10;;;0,00;;;;1,72;;;;;21,18;;12,35;64,81;0,71586;0,02142;0,61499;;0,78131;0,82584;0,73266;0,04494;0,37452;0,51567;0,67775;0,10889;0,66635;;0,78131;0,82584;0,73266;0,11959;0,46291;0,51567;0,56673;0,59316
SERIE HISTÓRICA;2006;2507;Ouro Preto;;;0,00;23,08;;;;110,59;;71,38;90,38;;35,67;10,13;;;128,59;89,50;15,14;;58,10;;;0,10;;;;4,44;;;;;47,34;;6,55;41,23;0,80399;0,02350;0,89685;;0,73037;0,83437;0,68638;0,42877;0,58028;0,42231;0,77863;0,15326;0,88625;;0,73037;0,83437;0,68638;0,42757;0,57815;0,42231;0,66792;0,66800
SERIE HISTÓRICA;2006;2509;Säo Francisco;;;0,12;296,17;;;;87,86;;187,21;87,64;;23,29;7,80;;;108,35;81,35;4,42;;112,10;;;0,12;;;;6,14;;;;;95,78;;30,18;109,29;0,55536;0,27216;0,92253;;0,57083;0,79371;0,89326;0,69518;0,59757;0,77062;0,54875;0,27216;0,91560;;0,57083;0,79371;0,89326;0,62573;0,59606;0,77062;0,70315;0,69183
SERIE HISTÓRICA;2006;2510;Confisco;;;0,00;0,00;;;;254,39;;0,00;0,00;;0,99;0,31;;;80,27;71,65;34,34;;137,10;;;0,24;;;;0,00;;;;;28,23;;89,11;298,06;0,00000;0,00000;0,48538;;0,03811;0,81762;0,93519;0,24694;0,14516;0,97253;0,00990;0,10602;0,49852;;0,03811;0,81762;0,93519;0,29337;0,26712;0,97253;0,40314;0,42874
SERIE HISTÓRICA;2006;2601;Mantiqueira/Sesc;;;0,09;0,92;;;;113,02;;109,41;83,62;;12,61;4,77;;;99,65;83,68;1,23;;0,00;;;0,04;;;;0,66;;;;;35,44;;6,42;24,15;0,30452;0,04935;0,90860;;0,35866;0,62778;0,00000;0,14035;0,17895;0,22040;0,30558;0,10732;0,90858;;0,35866;0,62778;0,00000;0,18076;0,27119;0,22040;0,37579;0,39342
SERIE HISTÓRICA;2006;2602;Serra Verde;;;0,05;1,98;;;;106,88;;97,52;87,50;;12,44;2,14;;;96,50;74,59;15,32;;61,10;;;0,05;;;;0,00;;;;;26,91;;17,50;66,94;0,28833;0,03421;0,90919;;0,28303;0,80407;0,70461;0,21794;0,10224;0,50344;0,28979;0,11060;0,90917;;0,28303;0,80407;0,70461;0,25813;0,22199;0,50344;0,46411;0,48531
SERIE HISTÓRICA;2006;2603;Piratininga;;;0,04;6,63;;;;85,17;;99,93;73,75;;16,92;6,39;;;102,37;94,46;4,24;;0,00;;;0,04;;;;0,20;;;;;38,72;;0,00;18,37;0,33371;0,03144;0,88327;;0,45821;0,75492;0,00000;0,17217;0,19726;0,11407;0,33513;0,09344;0,88325;;0,45821;0,75492;0,00000;0,21378;0,28209;0,11407;0,41279;0,42992
SERIE HISTÓRICA;2006;2604;Jardim Europa;;;0,04;9,17;;;;136,08;;77,02;72,16;;19,58;6,97;;;108,92;91,64;15,10;;0,00;;;0,08;;;;1,94;;;;;46,84;;6,42;39,99;0,46408;0,03307;0,88151;;0,50752;0,63689;0,00000;0,35575;0,43443;0,35983;0,46644;0,11450;0,88151;;0,50752;0,63689;0,00000;0,40211;0,50932;0,35983;0,48379;0,50115
SERIE HISTÓRICA;2006;2605;Venda Nova;;;0,12;31,54;;;;184,27;;388,44;86,50;;25,14;6,75;;;116,06;94,50;8,99;;40,10;;;0,12;;;;6,92;;;;;74,38;;4,54;45,78;0,45333;0,39065;0,92927;;0,57070;0,73945;0,55082;0,66097;0,77997;0,42545;0,48539;0,37812;0,91239;;0,57070;0,73945;0,55082;0,52832;0,66506;0,42545;0,65386;0,62264
SERIE HISTÓRICA;2006;2606;Céu Azul;;;0,00;5,01;;;;119,61;;90,63;73,67;;16,75;5,60;;;103,40;88,25;7,76;;0,00;;;0,07;;;;0,00;;;;;42,08;;6,50;37,21;0,41151;0,00541;0,89569;;0,44097;0,79585;0,00000;0,24151;0,17917;0,31095;0,41275;0,08071;0,89568;;0,44097;0,79585;0,00000;0,27899;0,27736;0,31095;0,44700;0,46540
SERIE HISTÓRICA;2006;2607;Copacabana;;;0,00;6,45;;;;95,67;;113,84;81,35;;18,41;6,62;;;103,31;85,14;3,20;;0,00;;;0,05;;;;0,18;;;;;32,32;;0,30;17,60;0,40716;0,00693;0,90033;;0,48470;0,78273;0,00000;0,22748;0,21016;0,12651;0,43588;0,08471;0,89923;;0,48470;0,78273;0,00000;0,27719;0,34342;0,12651;0,44006;0,46617
SERIE HISTÓRICA;2006;2608;Säo Joäo Batista;;;0,00;2,02;;;;61,51;;21,29;98,15;;19,40;6,80;;;113,80;92,90;45,83;;40,10;;;0,00;;;;0,00;;;;;27,67;;21,45;75,79;0,61255;0,00221;0,79201;;0,50216;0,83890;0,55082;0,00000;0,20686;0,59518;0,58196;0,10591;0,83741;;0,50216;0,83890;0,55082;0,13547;0,36832;0,59518;0,49898;0,54227
NOVA SERIE;2010;1801;Bairro das Indústrias;0,28;2,61;0,09;21,54;0,28;0,09;15,23;84,40;95,59;102,19;80,79;0,19;24,29;7,88;0,64;0,83;105,78;86,15;31,42;14,43;468,10;100,00;0,59;0,09;0,00;0,00;26,76;2,80;0,93;2,80;0,93;0,00;72,73;6,94;81,85;143,68;0,96260;0,44236;0,70347;0,78740;0,70473;0,90442;0,68016;0,55908;0,42292;0,80141;0,95942;0,53589;0,71250;0,77126;0,70473;0,90442;0,68016;0,59297;0,46829;0,80141;0,70663;0,71960
NOVA SERIE;2010;1802;Lindéia;0,10;1,35;0,02;5,73;0,06;0,06;35,15;120,27;90,76;88,26;74,93;0,06;17,36;6,04;0,61;0,87;68,68;89,58;1,39;7,39;463,10;100,00;7,31;0,10;0,00;0,06;26,32;0,60;0,00;2,98;1,39;0,00;44,05;0,98;7,70;23,99;0,75518;0,17544;0,79951;0,38998;0,63957;0,70290;0,91352;0,58303;0,30163;0,19680;0,76509;0,35180;0,79947;0,49066;0,63957;0,70290;0,91352;0,61255;0,38101;0,19680;0,59426;0,61622
NOVA SERIE;2010;1803;Barreiro de Baixo;0,14;1,90;0,07;68,05;0,10;0,33;48,06;142,56;92,36;147,41;83,25;0,17;25,44;7,84;0,74;0,85;107,34;96,04;8,50;14,21;444,10;99,67;3,73;0,02;0,55;0,86;26,06;4,76;0,71;9,05;1,67;0,48;71,19;1,65;0,00;16,62;0,86447;0,50903;0,86506;0,74938;0,72933;0,80219;0,83364;0,76026;0,64667;0,17206;0,85917;0,50884;0,86285;0,74072;0,72933;0,80219;0,83364;0,69855;0,60160;0,17206;0,72035;0,70578
NOVA SERIE;2010;1804;Barreiro de Cima;0,03;1,25;0,00;10,90;0,03;0,05;20,42;71,13;90,56;36,01;76,92;0,19;13,85;5,03;0,73;0,71;88,97;74,36;3,80;14,70;462,10;100,00;58,75;0,05;0,02;0,02;20,61;0,00;0,17;1,54;0,51;0,00;41,22;0,69;7,74;20,63;0,56111;0,12187;0,63425;0,79032;0,62846;0,72577;0,96719;0,49835;0,22803;0,16734;0,59085;0,28234;0,64445;0,77639;0,62846;0,72577;0,96719;0,54094;0,30651;0,16734;0,55023;0,57292
NOVA SERIE;2010;1805;Jatobá;0,07;0,73;0,01;2,28;0,01;0,07;37,21;104,29;88,61;99,42;72,31;0,21;8,41;3,19;0,68;0,72;78,99;76,01;1,45;11,72;460,10;98,73;10,28;0,07;0,00;0,01;20,58;0,28;0,14;0,98;1,82;0,00;35,39;0,10;5,17;16,45;0,58125;0,10647;0,80306;0,82482;0,56092;0,69345;0,94073;0,50733;0,28241;0,09614;0,59133;0,28757;0,80243;0,80249;0,56092;0,69345;0,94073;0,55046;0,35202;0,09614;0,55698;0,57616
NOVA SERIE;2010;1806;Cardoso;0,10;1,24;0,05;5,92;0,08;0,10;45,37;119,05;86,62;93,58;76,16;0,10;19,27;6,78;0,71;0,75;97,86;97,04;6,18;13,83;442,10;100,00;11,81;0,10;0,00;0,05;17,68;0,00;0,26;2,07;2,07;0,00;41,34;0,76;0,00;0,00;0,74859;0,26400;0,83111;0,57605;0,67924;0,77160;0,94744;0,51758;0,32616;0,05793;0,75775;0,39280;0,82569;0,65630;0,67924;0,77160;0,94744;0,55399;0,39882;0,05793;0,60867;0,62806
NOVA SERIE;2010;1807;Olhos D'água;0,00;1,44;0,00;3,94;0,00;0,00;40,34;91,82;79,87;35,82;48,15;0,26;4,88;2,10;0,75;0,75;70,42;64,78;11,82;16,63;472,10;100,00;90,11;0,13;0,13;0,00;21,90;1,31;0,00;1,31;1,31;0,00;35,47;9,78;137,11;221,86;0,41087;0,00973;0,70272;0,88710;0,53070;0,78018;0,96822;0,59980;0,26974;0,91715;0,41109;0,12464;0,70274;0,86229;0,53070;0,78018;0,96822;0,59496;0,28785;0,91715;0,61659;0,62063
NOVA SERIE;2010;1808;Barreiro-Sul;0,00;0,31;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,31;13,01;5,48;0,73;0,83;69,10;48,56;6,60;13,22;473,10;100,00;4734,54;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;28,27;25,58;336,31;550,57;0,15630;0,00000;0,00000;0,92630;0,62549;0,71796;0,96832;0,00000;0,09148;0,99807;0,15666;0,11639;0,01659;0,88372;0,62549;0,71796;0,96832;0,03755;0,11271;0,99807;0,41576;0,42776
NOVA SERIE;2010;1901;Barro Preto;0,16;3,40;1,62;489,08;0,65;3,72;121,89;574,24;86,66;782,82;81,37;0,00;55,99;15,92;0,91;0,94;129,69;100,00;163,35;12,08;455,10;97,37;2,61;0,16;6,95;2,75;40,44;51,75;3,23;21,03;3,23;1,62;514,31;12,20;0,00;96,56;0,92491;0,99506;0,93737;0,00000;0,90382;0,95684;0,79136;0,96164;0,96450;0,54327;0,92462;0,85950;0,93732;0,28973;0,90382;0,95684;0,79136;0,81648;0,85918;0,54327;0,87315;0,84584
NOVA SERIE;2010;1902;Centro;1,15;13,20;1,93;1168,03;0,78;7,29;122,19;82,12;76,79;224,58;85,16;0,06;52,73;12,65;0,79;0,98;109,56;97,32;144,29;12,75;409,10;97,51;13,99;0,00;3,38;11,45;27,20;102,46;0,00;64,49;7,84;7,84;751,57;2,68;0,00;0,00;1,00000;0,99876;0,90855;0,39372;0,86861;0,95474;0,94906;0,76293;0,83316;0,16313;1,00000;0,61862;0,90629;0,58011;0,86861;0,95474;0,94906;0,73105;0,77915;0,16313;0,81745;0,80094
NOVA SERIE;2010;1903;Francisco Sales;0,35;2,69;2,46;524,26;0,35;4,33;369,66;543,28;92,90;782,94;85,43;0,23;67,11;14,99;0,94;0,94;126,06;100,00;141,70;12,93;448,10;98,12;2,94;0,12;12,51;10,52;29,10;61,97;5,85;76,00;5,85;2,34;521,45;8,35;0,00;42,21;0,97354;0,97555;0,95359;0,85652;0,91842;0,95840;0,80466;0,91517;0,99703;0,42218;0,96862;0,88336;0,94914;0,82989;0,91842;0,95840;0,80466;0,80445;0,80006;0,42218;0,89532;0,85362
NOVA SERIE;2010;1904;Savassi;0,19;1,83;1,64;298,83;0,35;2,01;63,51;430,76;92,24;715,35;82,86;0,06;91,29;19,93;0,92;0,92;128,27;99,26;29,97;13,48;380,10;98,14;1,60;0,00;1,55;5,13;47,61;41,59;0,93;15,48;1,31;0,93;150,52;1,39;0,00;0,00;0,89484;0,96495;0,90140;0,37162;0,95230;0,91591;0,73145;0,81563;0,82809;0,09806;0,89073;0,88653;0,90086;0,56773;0,95230;0,91591;0,73145;0,76884;0,78230;0,09806;0,80383;0,79538
NOVA SERIE;2010;1905;Prudente de Morais;0,21;1,17;0,27;71,68;0,21;0,48;116,88;249,49;90,81;276,67;90,25;0,00;68,72;13,57;0,88;0,97;109,99;85,76;19,06;13,39;455,10;97,77;2,99;0,05;0,27;0,27;39,59;11,68;0,00;5,31;0,00;1,06;53,10;4,11;13,16;52,89;0,84070;0,72722;0,94544;0,00000;0,90745;0,87035;0,80708;0,74208;0,48783;0,43765;0,81629;0,70373;0,91266;0,23166;0,90745;0,87035;0,80708;0,71137;0,63964;0,43765;0,75557;0,76800
NOVA SERIE;2010;1906;Santo Antônio;0,11;1,56;0,62;107,82;0,22;0,33;58,67;185,73;88,48;247,22;89,47;0,00;71,86;15,71;0,92;0,88;121,07;94,24;18,65;13,81;448,10;97,91;0,32;0,11;0,11;0,69;39,90;7,27;0,73;5,45;1,82;0,00;48,73;2,85;0,00;18,07;0,79453;0,78003;0,89486;0,00000;0,92548;0,87179;0,65670;0,79542;0,50884;0,23388;0,83214;0,74832;0,86468;0,28543;0,92548;0,87179;0,65670;0,74487;0,50855;0,23388;0,73481;0,73440
NOVA SERIE;2010;1907;Anchieta/Sion;0,19;2,27;0,30;43,05;0,09;0,32;62,66;104,03;91,68;70,18;83,43;0,05;76,13;14,79;0,91;0,94;114,42;95,58;12,58;13,38;410,10;98,61;2,62;0,00;0,23;0,39;43,78;9,25;0,93;6,71;0,46;0,23;45,34;1,77;0,00;5,97;0,91696;0,58963;0,85274;0,31896;0,92397;0,83909;0,78667;0,66667;0,54177;0,14192;0,88994;0,58526;0,84083;0,51263;0,92397;0,83909;0,78667;0,65837;0,53974;0,14192;0,72352;0,72411
NOVA SERIE;2010;1908;Serra;0,09;1,97;0,31;88,82;0,22;0,52;93,23;81,65;93,33;59,81;91,77;0,09;75,34;15,02;0,90;0,82;121,96;97,15;15,08;12,36;442,10;98,97;0,45;0,13;1,05;0,96;20,98;8,30;0,00;8,30;0,00;0,44;53,32;3,21;4,49;54,59;0,78428;0,76650;0,86323;0,51607;0,92388;0,85027;0,66638;0,84911;0,45054;0,36718;0,83436;0,73971;0,85350;0,63374;0,92388;0,85027;0,66638;0,77600;0,61333;0,36718;0,75357;0,76671
NOVA SERIE;2010;1909;Mangabeiras;0,14;0,27;0,54;3,66;0,27;0,14;122,01;232,33;80,43;290,37;83,26;0,41;69,80;9,96;0,86;0,86;112,02;77,57;14,37;11,69;467,10;97,52;655,17;0,00;1,08;0,95;24,97;0,00;0,00;0,00;2,71;1,36;55,57;10,09;110,84;212,93;0,54611;0,55978;0,93360;0,96582;0,87387;0,83420;0,96643;0,72871;0,44559;0,89918;0,57003;0,55758;0,91328;0,90078;0,87387;0,83420;0,96643;0,70194;0,51349;0,89918;0,78255;0,78352
NOVA SERIE;2010;1910;Säo Bento/Sta. Lúcia;0,23;0,84;0,38;45,84;0,15;0,23;152,05;108,36;87,20;36,14;93,43;0,08;67,24;12,13;0,87;0,95;116,00;80,40;35,88;14,16;460,10;99,25;28,36;0,08;0,61;0,31;42,02;10,73;3,07;5,37;0,77;0,77;72,83;5,55;35,40;108,56;0,78892;0,62408;0,83902;0,47088;0,89428;0,91856;0,96632;0,82601;0,72287;0,64570;0,80838;0,61471;0,82414;0,56701;0,89428;0,91856;0,96632;0,74777;0,66780;0,64570;0,81777;0,80298
NOVA SERIE;2010;1911;Belvedere;0,31;1,44;0,31;120,46;0,21;0,10;10,49;17,17;100,00;48,68;99,10;0,00;114,90;23,82;0,97;0,83;114,37;88,97;32,99;14,46;470,10;100,00;191,32;0,00;0,72;0,31;47,80;20,56;3,08;4,11;0,00;1,03;64,75;8,27;46,03;124,88;0,89959;0,65466;0,46683;0,00000;0,96884;0,91189;0,96802;0,72117;0,66477;0,73340;0,88051;0,64341;0,50159;0,34057;0,96884;0,91189;0,96802;0,69344;0,64174;0,73340;0,76343;0,76989
NOVA SERIE;2010;1912;Barragem;0,00;0,46;0,07;0,00;0,00;0,00;41,57;16,86;82,27;0,00;0,00;0,26;1,04;0,29;0,49;0,82;75,68;10,20;14,59;15,08;472,10;100,00;1,52;0,00;0,00;0,00;9,48;0,00;0,00;0,00;1,95;0,00;12,38;4,00;64,93;112,42;0,20984;0,08058;0,36499;0,88504;0,41528;0,65878;0,74033;0,24751;0,18743;0,68298;0,42169;0,34915;0,55362;0,84458;0,41528;0,65878;0,74033;0,51377;0,42437;0,68298;0,42769;0,53934
NOVA SERIE;2010;1913;Cafezal;0,00;0,61;0,04;0,72;0,04;0,00;27,02;62,09;85,21;0,00;0,00;0,00;2,08;0,54;0,50;0,68;92,40;6,21;2,16;8,28;465,10;100,00;0,94;0,07;0,00;0,00;13,70;0,00;0,00;0,36;2,16;0,00;19,84;2,00;35,13;61,94;0,25951;0,10452;0,44777;0,00000;0,43442;0,52506;0,70398;0,43075;0,22224;0,45787;0,44675;0,38158;0,62268;0,27342;0,43442;0,52506;0,70398;0,59104;0,42689;0,45787;0,40793;0,50712
NOVA SERIE;2010;2001;Instituto Agronômico;0,09;1,80;0,16;31,06;0,26;0,28;32,85;74,46;87,47;221,25;80,97;0,09;38,04;10,52;0,87;0,95;115,24;96,00;18,78;12,50;415,10;96,96;17,44;0,02;0,19;0,09;26,21;2,57;0,93;3,04;0,47;0,00;52,08;1,55;3,29;21,28;0,78574;0,59268;0,79036;0,53959;0,82183;0,87384;0,95550;0,58496;0,36893;0,19980;0,83646;0,58870;0,79025;0,63979;0,82183;0,87384;0,95550;0,64423;0,50197;0,19980;0,68311;0,71297
NOVA SERIE;2010;2002;Boa Vista;0,04;2,38;0,00;3,73;0,21;0,17;48,83;124,06;87,03;82,80;80,44;0,04;21,31;7,09;0,62;0,86;100,11;92,90;4,88;12,74;428,10;97,14;6,37;0,04;0,02;0,06;20,19;0,21;0,21;3,43;1,50;0,21;55,06;1,08;10,51;29,24;0,67784;0,32002;0,83814;0,29934;0,67748;0,76429;0,89370;0,50389;0,41508;0,23241;0,73966;0,47734;0,79773;0,47201;0,67748;0,76429;0,89370;0,57274;0,49452;0,23241;0,61442;0,64239
NOVA SERIE;2010;2003;Floresta/Santa Tereza;0,23;1,91;0,29;122,79;0,26;0,44;91,21;296,34;91,26;227,75;84,95;0,12;44,48;10,84;0,90;0,96;116,78;93,51;35,05;12,71;434,10;97,49;0,66;0,03;0,29;0,38;27,04;4,99;1,47;7,04;1,47;0,88;65,41;1,69;0,00;13,70;0,92191;0,79509;0,93015;0,62251;0,84671;0,92227;0,67987;0,69382;0,69698;0,16426;0,92029;0,76360;0,92983;0,62246;0,84671;0,92227;0,67987;0,67711;0,67585;0,16426;0,76491;0,75912
NOVA SERIE;2010;2004;Pompéia;0,13;2,29;0,04;17,54;0,34;0,17;56,35;131,86;84,83;172,33;77,37;0,04;29,06;8,47;0,72;0,91;112,00;91,53;12,02;11,24;456,10;99,53;1,60;0,04;0,04;0,00;12,70;0,85;0,42;5,10;1,70;0,00;54,36;3,29;25,35;65,91;0,86570;0,44011;0,87231;0,29716;0,74928;0,83007;0,74276;0,40478;0,40511;0,48710;0,84901;0,57653;0,85452;0,47202;0,74928;0,83007;0,74276;0,48858;0,53702;0,48710;0,65722;0,68915
NOVA SERIE;2010;2005;Taquaril;0,05;0,77;0,07;1,62;0,00;0,00;34,00;63,02;84,77;9,92;86,57;0,10;3,31;1,61;0,49;0,65;84,50;39,43;3,66;11,10;455,10;99,31;14,79;0,07;0,00;0,00;0,00;0,00;0,00;2,24;3,98;0,00;31,85;1,21;19,67;41,23;0,53217;0,09398;0,56082;0,56233;0,45161;0,66663;0,95778;0,11897;0,30273;0,31268;0,57090;0,32741;0,59607;0,64648;0,45161;0,66663;0,95778;0,23902;0,43520;0,31268;0,45556;0,50414
NOVA SERIE;2010;2006;Santa Efigênia;0,17;1,84;0,15;28,27;0,12;0,15;67,00;87,43;84,41;80,73;73,99;0,07;27,31;7,89;0,79;0,88;103,62;79,86;9,10;10,99;457,10;99,73;1,60;0,05;0,17;0,17;20,32;2,45;1,72;4,17;2,21;0,25;51,04;1,68;6,84;31,73;0,88581;0,45621;0,84801;0,45731;0,74564;0,79781;0,74280;0,60343;0,58219;0,25603;0,86755;0,60397;0,84102;0,57409;0,74564;0,79781;0,74280;0,60284;0,57820;0,25603;0,68395;0,68899
NOVA SERIE;2010;2007;Baleia;0,00;0,46;0,00;0,00;0,00;0,11;13,51;88,16;91,37;0,00;0,00;0,00;7,39;2,25;0,54;0,86;92,32;53,47;9,66;7,08;471,10;100,00;631,11;0,11;0,11;0,00;24,64;2,30;0,00;0,00;3,45;0,00;60,92;8,10;112,28;199,66;0,21116;0,08818;0,40184;0,00000;0,51113;0,76362;0,96812;0,60673;0,33321;0,87851;0,28879;0,31616;0,44172;0,24751;0,51113;0,76362;0,96812;0,60511;0,45326;0,87851;0,53592;0,57456
NOVA SERIE;2010;2008;Mariano de Abreu;0,00;1,33;0,00;0,00;0,00;0,00;23,23;0,00;0,00;0,00;0,00;0,44;6,12;3,35;0,40;0,80;76,11;50,92;19,34;11,21;467,10;100,00;0,30;0,22;0,00;0,00;0,53;0,00;0,00;0,00;2,22;0,00;33,34;16,99;236,45;389,42;0,39821;0,00000;0,16714;0,97505;0,45744;0,80870;0,65863;0,18123;0,24600;0,98677;0,46575;0,25504;0,35023;0,90663;0,45744;0,80870;0,65863;0,31714;0,35784;0,98677;0,46546;0,53159
NOVA SERIE;2010;2009;Santa Inês;0,21;2,07;0,00;55,33;0,41;0,62;118,42;211,12;96,00;62,05;93,99;0,00;38,35;9,77;0,86;0,96;103,43;99,23;19,75;12,51;455,10;100,00;0,91;0,10;0,10;0,31;21,61;0,00;0,00;6,21;2,07;0,00;76,53;8,01;75,58;158,44;0,91984;0,56785;0,90484;0,00000;0,81470;0,87665;0,70060;0,66641;0,38044;0,81582;0,90506;0,56547;0,90117;0,18954;0,81470;0,87665;0,70060;0,64889;0,48534;0,81582;0,73761;0,75065
